"OID","Adult_ID","Parent_ID"
"08596819ef88b78ca300","78d8a910",NA
"76707cf76e9c496b657f","93ea2411",NA
"a1744543ec05b2008e25","0cd23e27",NA
"11f743d4a8f298d8018e","f83b9799",NA
"b448745d796c5b71c14e","be3c3092",NA
"319acf948a09feed3103","e19bc992",NA
"2993571965f9d0f5a328","340aab4b",NA
"ad02490cf416f5d240f5","cc420c15",NA
"4ac2b0850256b05d83a9","6c2a7fd8",NA
"fdb6c3c22fed9e5e0b96","a7518dbb",NA
"e9a9ea92e01e88ca1d71","996c1856","fc43c5f7"
"8ee22e4f1d4d12d7e1ee","0ee83d5d","32c6ef28"
"f88f0e561d7d7a95362e","7801d619",NA
"715a5001f0352e54b93d","0a2d2c00",NA
"a0f1c7c0cd95d891683a","904b0979",NA
"e8957e5f09e18e31ca05","f7070d7f",NA
"d6628afc59878960577a","3a4222e5",NA
"46805e35651a2692c09c","823ac259",NA
"04dbbb3d79c3eeb41178","7f5fa5c1",NA
"9ab25fcf97605444b9c5","9a26ffe1",NA
"5dcb1eb8d5346dd24b8f","c3c90e55",NA
"683e71d0c1d8a1271b5f","4d6d0964",NA
"e932396cd6bb4c4abe3a","b086b7f4",NA
"2b7d23a454e0ce8241c2","64bb47b7",NA
"5bb81c71054c8c803b86","27b401b1",NA
"e1e6468d734b838391e7","765b836b",NA
"d42ca0be3fb2052d3f18","3ece9f35",NA
"f7cfd075d0a9c9748a20","32be60c9",NA
"49a9707d595b7868f742","9daef04a",NA
"08b7e3be95ed42d3e5ee","0206c601",NA
"46f9b168340e0b7cec39","87bdbf33","9b28533d"
"da7bafd2e8ef39cfe69a","1557d8f9",NA
"4a98f59926f4d88721d2","2d600784",NA
"86443f2c26a9428c4f9b","541a2119",NA
"106a9149e6d58639634f","92311c33",NA
"d3452ed82b50f540f5a0","6845a057",NA
"ee4c07ec6b7112facd06","a474e45b",NA
"717188b941b44358531f","ddb27543",NA
"4480f2d3fcfe0d6cf390","7064ac8e",NA
"3a5d1207cbd16a86f9c9","15dd865d",NA
"dec813fcfbb8e9ac35ec","90309e62",NA
"eb3e513f33d549f962bf","3609306f",NA
"e9820f810ca233d4db37","414ac45d",NA
"cfd6f358baf93a759b4f","7e7c21c4",NA
"9a17495b38e0c941d5e5","f1148579",NA
"f7d3b89538bdcdbccc57","83605dfd",NA
"354f86317fd0a5b04a39","86182731",NA
"639ba4295b60283790df","f86a8e81",NA
"c8b8adb955b7f939ec60","3e108525",NA
"390da73faaa0a6e51589","8b77522e",NA
"91dd962e961eb1c3e16f","9f2c7f12",NA
"872f1d88b20ac46394c1","9edcb296",NA
"38e632e3446de69fe4c7","fce5d8b8",NA
"5928ea0c29cbbab8abef","fbbae3ee",NA
"3fbb22cc10cf06bbb092","9a0b6910",NA
"bae20aae8bfa7d923131","1ec183b1",NA
"f822c039469f76e1fb4d","13ce3c23",NA
"d991c885c772653e1407","c5e6fc19",NA
"f81c65fdcb14ba2d2e3e","c6a7a272","c52f791e"
"a90b434e444215520636","dfa98f0a",NA
"2d132e98437563aba9ef","aa0057d2",NA
"38f1ebaa9e1a90391870","c040f50f",NA
"2c0f227bb6f605f0ee9e","acbbe2b3",NA
"54ce24531587c6ce470e","fcb6ffb0",NA
"79acdfbb4416a9d185c0","c334a995",NA
"f42117387c2681ce8d0c","bb33e0f3",NA
"57e174def21907658f6b","99f212e7","79d13092"
"a376c9c671104c48bb3d","e91b08e2","269da6ca"
"b8879d940d76ec43621d","2e5216ac",NA
"9f4da30ef4c00373d3bc","b5a78b22",NA
"ab1562c07f4ac720569a","fab8e8c7",NA
"eaadb7255382ec500822","c8fe50be",NA
"495707da9b6ca5b47fbd","93d66427",NA
"4437c3b772b0d5ba73d0","0f15e0b6",NA
"95b0038a64ccc9002a59","fb7f07f6",NA
"3b78cec56a08a6ce9c26","7a5b6287",NA
"4bb22f771906715390d5","04a62f9f",NA
"3c1008392ab146f61458","8c84d952",NA
"6aff24266a2c076888fd","9219eefc",NA
"1c2ddb218970190f50e1","9a06cc5e",NA
"4a017086cd38b9aa66dd","56cbd38a",NA
"8ce6a7f1c9eb9805e89f","f57784d1",NA
"cfd1c46e682f0e67df47","1bf2802e",NA
"7efd700886673e406f1e","141a614c",NA
"90bb90fba7c3de43b463","7e5f43dd",NA
"f6cb5fde0e3b3993a0fe","ef623c3b",NA
"c3f2c451f3397495ce62","ba12dad1",NA
"7e78560af5ab60505130","20792245",NA
"e8c37b64259ad5a21d0a","d6c5b692",NA
"884e1b5ca2f371d46bf4","24f18f6f",NA
"69c25c9baf8e3d7c7f70","0cccf65d",NA
"ee5e34d26f0baa988268","85734fa0",NA
